Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Launch_Date,Launch_Year
106929,Kotak Nifty PSU Bank ETF,Kotak Mahindra Asset Management Company Limited.,Open Ended,Other Scheme - Other  ETFs,Kotak Nifty PSU Bank ETF,10000,828.2759,10/29/2007,2007
106976,ICICI Prudential Interval Fund II - Quarterly Interval Plan - C,ICICI Prudential Asset Management Company Limited,Open Ended,Income,ICICI Prudential Interval Fund II - Quarterly Interval Plan C - Retail Growth,5000,22.1759,11/21/2007,2007
106977,ICICI Prudential Interval Fund II - Quarterly Interval Plan - C,ICICI Prudential Asset Management Company Limited,Open Ended,Income,ICICI Prudential Interval Fund II - Quarterly Interval Plan C - Retail Dividend,5000,10.0038,11/21/2007,2007
106978,Franklin Asian Equity Fund,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Franklin Asian Equity Fund - IDCW ,5000,20.9456,11/19/2007,2007
106979,Franklin Asian Equity Fund,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Franklin Asian Equity Fund - Growth Plan,5000,44.3744,11/19/2007,2007
106980,UTI Short Duration Fund,UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Short Duration Fund,UTI Short Duration Fund - Regular Plan - Quarterly IDCW,10000,17.1381,6/25/2003,2003
107070,UTI - FIIF Annual Interval Plan IV,UTI Asset Mgmt. Co. Ltd.,Close Ended,Income,UTI FIIF Annual Interval Plan IV - Regular Plan - IDCW,10000,10.0749,11/15/2007,2007
107071,UTI - FIIF Annual Interval Plan IV,UTI Asset Mgmt. Co. Ltd.,Close Ended,Income,UTI Fixed Interval Income Fund (Annual Interval Plan) Series IV - Regular Plan - Growth Option,10000,27.3947,11/15/2007,2007
107088,UTI - FIIF Half Yearly Plan I,UTI Asset Mgmt. Co. Ltd.,Close Ended,Income,UTI Fixed  Income Interval Fund ( Half Yearly Plan - I) - Regular Plan - Growth Option,10000,26.1257,11/15/2007,2007
107089,UTI - FIIF Half Yearly Plan I,UTI Asset Mgmt. Co. Ltd.,Close Ended,Income,UTI FIIF Half Yearly Plan I - Regular Plan - IDCW,10000,10.0564,11/15/2007,2007
